"","Willy","Karen","Kristina","Stefan","Niklas","Fiona","Finley","Zoe","Annika","Ian","Frank","William","Jana","Babsi","Collin","Patrizia","Valentine","Jennifer","Julius","Thomas","Kim","Tamara","Caroline","Dennis","Shae","Knut","Angelina","Victor","Fred","Nora","Carmen","Tashina","Tessa","Adrian","Constanze","Justin","Wilma","Irene","Anastasia","Sabrina","Jason","Jasmine","Dana","Amanda","Jalena","Marcel","Leandro","Justus","Hagen","Ralf","Shaana","Nhome","Azra"
"A","Bilder","Endreim","wörtlich genommen","Karte mit Bildern","Gedicht","Bild-Text-Korrespondenz","Wortwiederholung","Sinnveränderung durch Tonlage","nur ein Wort","Fragen","Cartoon (lustig, nicht gleich offensichtlich)","Schriftform","Reime","neue Schreibweise (nicht an Regeln gehalten)","sinnlos","Körperteil","nicht lustig","das gleiche","Tiere","Komische Schriften","Schriftart","witzig","reimt sich, Gedicht","sind Texte","Tiere","witzig, lustig","Bilder","sinnlos","Wortwiederholungen","unterschiedliche Schriftarten in jeder Zeile","philosophisch","Bilder auf den Kärtchen","groß, sieht aus wie ein Turm","Schriftart","Bilde","Schrift ist dick","Wortwiederholungen (nur ein Wort anders)","Komma","bestehend aus wenigen Worten","Bild","Tiere","Bilder","Komma","ein Wort auf der Karte","Reime","Bilder","Bilder sind drauf, eine Zeile Text, Bild und Text","Bilder mit Tieren, hat was mit Tieren zu tun","Bild und Text","Wiederholung (manchmal mit Abweichung)","Grammatik","Regeln (dass es so bleiben muss, wie es ist)","Bild"
"B","spiegelt sich","Alliteration","Grammatikphänomene","mehrfach dasselbe Wort auf dem Kärtchen","Witze","ähnlich eines Sprichwortes, Liedes","Aussehen","verschiedene Schriftarten","Tiere","Gedicht","richtige Sprachspiele (nicht gleich verständlich)","einmal ein anderes Wort, der Rest ist dasselbe","Überschriften","bildliche Darstellung","ein Wort","Schule, Unterricht, Lernen","lustig","vertauscht","Buchstaben veränderung","Gedicht","veränderte Wörter, Sätze","Rätsel","Zahlen und Buchstaben","Gedichte","Grammatik","Mama meckert","Metapher, Wortbild","lustig","Gedichte","Bild","Wort-neu-erfindung, Wortneuschöpfung","witzig","das Wort Ich","Wiederholung","langer Text","Bilder","kann man nicht lesen","Gedichte","Bild-Wort-Kombination","mit vielen gleichen Worten",NA,"Reime","Bild","gleiche Buchstaben mehrfach vorhanden","Wiederholungen","Große Schrift","dasselbe Wort kommt ganz oft vor, Wortwiederholung","Spaß mit der Sprache, Spaßwörter","unterschiedliche Schriftarten","Tiere","Sprichwörter","Länder","Zeigt in eine Richtung"
"C","lustig","bildhaft","tiefgründige Gedanken","Fettschrift auf dem Kärtchen","keine Satzzeichen","inhaltliche Veränderung durch Graphemwechsel","Spruch drauf, Tierbilder","gleiche Wörter","Form zum Beispiel Viereck oder Dreieck","unterschiedliche Schriftarten","Schriftwitz (in Schrift rumgepfuscht)","lustige Fragen, Witzfragen","Fragen","Gedicht","unterschiedliche Schriftarten","Tiere","ohne Bedeutung",NA,"unnützes Wissen","anders ausgedrückt","lustige Texte, Witze","Liebe","unverständlich, keine Worte, Schrift","verdrehen von Inhalten durch Satzteile, -zeichen","Gedicht","Bild","Gegensätze","Rechtschreibfehler","reimt sich","verschiedene Länder, Sprachen","bildliche Darstellung","fett gedruckt und nicht fett gedruckt","mehrmals das gleiche Wort","Wort am Versanfang wiederholt sich","Humor","dünne und kleine Schrift","ein Bild ist auf dem Zettel","fehlende Buchstaben",NA,"mit Überschrift",NA,"Überschrift","Reime","Buchstabe O sticht deutlich hervor","andere Sprachen","viel Schrift, Text","unverständlich","Schule","Schrift in geometrischer Form","durch Bild, Symbol gekennzeichnet","Dialoge","Kommasetzung","Langer Text"
"D","kann nicht gelesen werden","Sprichwörter brechen","witzig","Text mittig auf dem Kärtchen plaziert","fett gedruckte Überschriften","Zahlen, Zahlenmix","ziemlich lustig","Gedichte","ein Satz, gehören zusammen","Bild","witzig","Gedicht","Text nicht erkennbar","Wörter anders dargestellt","Illustrationen","Bilder",NA,NA,"verschiedene Schriftarten","zwei reden miteinander","Wiederholungen von Wörtern","Grammatik","Veränderung von Worten, Sätzen","nicht lesbar, kein Inhalt","Gemeinschaft","Verbindung von zwei Wörtern","wahre Aussagen","schlechte Witze","Text und Bild","enthält immer nur ein Wort","etwas wörtlich nehmen","verschiedene Schriftarten","böse","Quatschsprache","Grammatik","unedeutlich, Schriftart unterschiedlich","kurze Sätze","Wortwiederholungen","Zahl-Wort-Kombination","falsche Worte",NA,"Witz","Klammern (was in Klammern steht)","Text fängt mit K an","Tiere","Sachen, die man nicht versteht","lustig, erinnert an Schule","sehen aus wie ein Gedicht","keine Überschrift","Schrift","Reime","Gedichte, die über sich selbst erzählen","Komma als Satzzeichen"
"E","Reime","Schriftbild, konkrete Poesie","verschiedene Länder, Kulturen, Menschen","nur ein Wort","unterschiedliche Schriftarten","Satzzeichenbedeutung, Lesegeschwindigkeit","schriftlicher Aufbau (Gedichtähnlich)","Reim","Rätsel","unterschiedliche Schriftgrößen (klein, groß, fettgedruckt)","nicht verstehbar","Reim","Schriftart ist seltsam","Satzzeichen","große Schrift","Ausländische oder andere Sprache",NA,NA,"Text zum Bild","getrennte Worte","Sinnwiederholung, ein Beispiel wird (falsch) auf ein anderes übertragen","Moral","gleiche Wörter","Schimpfwörter","Sahen für kleine Kinder","ohne Sinn","lustig","Gedicht","Parodie, Scherz","Ergänzung durch Buchstabe(n), ergibt neues Wort","Wortwiederholungen","große Schrift","Bildunterschrift","Betonung",NA,"steht immer dasselbe, Wiederholungen","keine Überschrift","verschiedene Sprachen","Spielereien durch Wortartenveränderung","witzig",NA,"gleiche Wörter","Wortwiederholung",NA,"Bilder","Wortwiederholungen","gleiche Schriftform","es wird nichts gesagt oder Verneinung","mit Überschrift","Menschen essen","Wortspiel","Tiere","Nicht nett"
"F",NA,"sprichwörtliche Moral","Dopplung eines Wortes","verschiedene Schriften","Tiere, Lebewesen","Doppeldeutigkeiten","beides war sehr lustig","Ostern","bei Nacht","eine andere Sprache",NA,"Verwirrung","ein Wort wird dazugesetzt","Erfindung neuer Wörter","Gedichte","Buchstaben weggelassen",NA,NA,"Nomenverlängerungen","Von beiden Seiten lesen","Bilder","Reim","Wörter wörtlich genommen","Wortveränderung führt zu Inhaltsveränderung","lustig","Zeile","zuordnen (man muss umdenken, überlegen was gemeint ist)","Schriftart ist für den Sinn von Bedeutung","unverständlich, nicht logisch","nicht verständlich","Satzzeichen","kleine Schrift","gleiche Schriftarten","humorvoll",NA,"andere Wörter mit drin, Wiederholungen mit Ausnahmen","mit Überschrift","Wort, das man von vorne nach hinten und umgekehrt lesen kann",NA,NA,NA,"Spiel mit Wörtern","Überschrift",NA,"handelt um Schule","Dialog, zwei Menschen sprechen","fettgedruckte Überschrift","haben einen alleinstehenden Buchstaben im Text","gespiegelte Schrift","Schimpfwörter","Fragestellungen","Wortneuschöpfungen","Nicht richtig geschrieben"
"G",NA,"Satzzeichen",NA,"nervig","Natur","Non-sense","Liebe kommt vor","Tiere","passt zusammen","Fantasietiere",NA,"Pronomen","Wortwiederholung","neuer Sinn einer Wortzusammenstellung","Witze","Gleiches Substantiv ""Wort""",NA,NA,"Reime","Schimpfwörter","Überschriften","Bilder","Satzzeichen","Einzeiler","Nachdenken",NA,"Gedicht","Wo Tiere mit drin sind","Witz","Wortwiederholung  (mit Ausnahmen)","doppeldeutige Sicht","reimt sich","Bilder auf den Karten","Reim",NA,"mit Tieren","am Anfang immer das gleiche","du, deiner, dir, dich, dein, mein, ich, du, wir (Personalpronomen)",NA,NA,NA,NA,"Satzzeichen",NA,"Berufe","witzige Texte, Witze","sehr kleine Schriftgröße","es kommen Familienmitglieder vor","Sätze beginnen mit dem gleichen Buchstaben","Es geht um Liebe","Struktur","Liebe","Sprachen, die man nicht verstehen kann"
"H",NA,"Lautmalerei",NA,"Überschrift vorhanden","Zeit","Aussagen, ohne etwas zu sagen","Wortwitze","links-rechts und rechts-links Wörter","Gedicht","mindestens zwei Fragezeichen",NA,"sinnlos","Buchstaben fehlen",NA,"Texte, die einen zum Nachdenken bringen","Gleiches Substantiv ""Schuhe""",NA,NA,"Satzzeichen","Wir und Ich","Reim","Redewendung","Bild und Text","Wortwiederholungen","Liebe",NA,"Liebe als Thema","Wortwiederholungen",NA,"Verwendung von Personalpronomen","Gedicht, Reime","fremde Sprache",NA,"Alliteration",NA,"Anfang immer mit gleichem Buchstaben","immer ein Satz oben und dann lassen die eine Lücke","Bilder",NA,NA,NA,NA,"ohne Satzzeichen",NA,"Kinder","Texte über Tiere","gemischte Schriftarten","Bild und Text wird über Größe dargestellt","lustiger Inhalt","Gedichte","umgedrehte Bedeutung","Witze (weil es lustig ist)","Relativ kurz"
"I",NA,"Wiederholung",NA,"Reime","Fantasiesprache","was lustig klingt, aber ich nicht lustig finde","Textsorte","Reihenfolge Buchstaben, Zahlen","Figuren können graue Haare bekommen","Reime",NA,"Satzzeichen","das Gleiche, wenn man es rückwärts liest, Verdrehung",NA,"andere Sprache","Gleiches Wort mehrmals",NA,NA,"Vertauschen von Wörtern","Mehrere Worte auf einem Blatt Papier","Gedicht","Neologismen",NA,"undeutlich durch veränderte Wörter","gemein",NA,"unverständlich, Quatsch",NA,NA,"Tiere enthalten","Witz","die Schrift ist in einer speziellen Form angeordnet",NA,"einzelne Wörter wiederholen sich",NA,NA,"ein Satz und nichts darunter","gleiches Wort am Satzanfang",NA,NA,NA,NA,"fett gedruckte Wörter",NA,NA,"Liebe","Wortspiel","man erkennt nichts, kein Sinn","Fragen","ohne Sprache sein (wie wenn Männchen auf Außerirdische treffen oder die Striche)","moralisch","Wiederholungen","gleiche Wörter kommen oft vor"
"J",NA,"Parodie",NA,NA,NA,"Thematisierung von Auslassungen",NA,NA,NA,"lustiger Inhalt",NA,NA,NA,NA,NA,NA,NA,NA,"Witz","Artikel",NA,"Fremdsprache",NA,NA,NA,NA,NA,NA,NA,NA,"Sprachspielerei","kann man nicht lesen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"andere Schrift (anders, sonderbar?)",NA,NA,NA,NA,NA,NA,"Kein Sinn"
